Punto;res_pH;res_P (mg/kg);res_C (%);res_N (%);res_CN;res_Sg1 (g/kg);res_Sf (g/kg);res_St (g/kg);res_L (g/kg);res_A (g/kg);res_Text;res_Res1 (0-50 cm) (Ωm);res_Res2 (0-100 cm) (Ωm);res_Res3 (0-180 cm) (Ωm)
1;6.9;19.04;0.80;0.09;8.8;220;144;364;440;196;F;44.57279587;45.81965256;46.04590988
2;6.8;18.83;0.78;0.09;8.5;265;163;428;414;158;F;47.1335907;49.38140869;49.16955566
3;6.7;33.65;1.02;0.13;8.1;241;128;369;499;132;F;43.02362061;45.7143631;46.58407974
4;7.4;32.81;1.32;0.14;9.1;254;100;354;512;134;FL;43.05449677;44.08631134;43.44127655
5;6.8;28.02;1.09;0.12;8.8;266;121;387;497;116;F;46.54546738;48.56343842;47.81634903
6;6.9;38.49;1.05;0.13;8.0;257;134;391;476;133;F;46.81511307;48.48414993;47.51234436
7;6.7;46.61;0.93;0.10;9.0;267;157;424;462;114;F;46.85463715;48.8316803;48.03815079
8;6.9;14.43;0.77;0.10;7.8;218;105;323;501;176;FL;46.03902817;46.50296783;47.02928925
9;7.0;24.53;0.97;0.11;8.8;217;143;360;458;182;F;48.43226242;47.95690536;46.92527008
10;6.8;28.44;1.02;0.13;7.7;247;100;347;492;161;F;48.30013275;48.06276703;47.66769791
11;6.9;37.86;1.09;0.13;8.5;245;144;389;479;132;F;47.98267746;47.50791168;46.49720001
12;6.8;33.65;1.10;0.14;8.1;294;98;392;459;149;F;47.70707321;48.87363434;48.57574844
13;6.8;39.98;1.12;0.13;8.6;312;136;448;404;148;F;51.66746521;52.23431778;51.30137253
14;6.7;38.49;1.07;0.14;7.9;305;139;444;408;148;F;50.28024292;50.98057556;49.92235184
15;6.7;24.32;0.83;0.10;8.1;225;104;329;489;182;F;50.0684967;49.79037094;50.37548447
16;6.7;24.53;1.08;0.14;7.9;242;201;443;426;131;F;50.75700378;50.07178116;49.99330902
17;7.0;29.89;1.13;0.14;8.0;253;157;410;417;173;F;48.66875839;46.79495239;46.12896347
18;6.7;44.89;1.32;0.16;8.5;306;133;439;405;156;F;52.77331924;51.23606873;50.12168503
19;6.7;40.61;1.25;0.14;9.2;380;103;483;367;150;F;56.21455383;56.1672554;54.28612518
20;6.7;49.85;1.18;0.14;8.3;330;171;501;378;121;F;58.58971405;58.41651535;57.39559937
21;6.7;52.46;1.05;0.14;7.6;358;130;488;364;148;F;58.14315033;58.34262848;55.99452209
22;6.8;23.09;0.92;0.12;7.4;196;167;363;418;219;F;48.34855652;47.48703766;49.39257431
23;7.1;29.06;1.08;0.14;7.9;231;125;356;435;209;F;44.19338989;42.73336411;43.05814743
24;6.1;41.04;1.12;0.15;7.7;296;164;460;387;153;F;47.34139633;46.29408646;47.03355026
25;5.9;57.06;1.24;0.14;9.1;329;159;488;374;138;F;52.72387314;51.58907318;50.94429779
26;5.7;63.27;1.28;0.16;8.1;344;127;471;375;154;F;56.51194763;59.82465744;63.43521881
27;5.9;62.83;1.17;0.15;7.8;342;116;458;393;149;F;51.92069244;51.66778183;53.58438873
28;5.8;44.24;1.10;0.14;7.7;380;102;482;370;148;F;56.4349823;59.00932693;63.68791199
29;6.8;30.72;1.09;0.15;7.2;181;147;328;466;206;F;53.52629471;51.94232178;52.34571457
30;6.9;48.76;1.23;0.16;7.7;253;152;405;412;183;F;49.26390457;47.26282883;47.46544647
31;6.6;49.63;1.35;0.14;9.5;411;113;524;361;115;FS;48.91114044;46.75976563;46.91529083
32;6.2;71.41;1.46;0.17;8.8;409;140;549;337;114;FS;56.14566422;56.50153351;58.02548218
33;6.2;63.50;1.29;0.16;8.3;422;127;549;335;116;FS;59.79219818;60.64369583;63.91824341
34;6.3;60.60;1.26;0.15;8.3;398;149;547;317;136;FS;63.26521301;65.78621674;70.58115387
35;6.3;64.17;1.52;0.19;8.0;407;95;502;387;111;F;64.89551544;68.16542816;74.54319763
36;6.2;24.32;1.00;0.12;8.2;405;106;511;358;131;F;62.03422928;56.93588257;56.86474609
37;6.4;31.97;1.11;0.13;8.7;380;159;539;348;113;FS;57.45656586;51.94462585;50.90982819
38;6.2;38.28;1.14;0.13;8.5;426;122;548;346;106;FS;62.72493744;58.13510895;57.4491806
39;6.3;58.82;1.25;0.15;8.4;419;119;538;335;127;FS;64.57032776;62.17697906;64.77033234
40;6.3;49.20;1.19;0.15;8.1;409;146;555;335;110;FS;71.42497253;73.29553223;80.85284424
41;6.4;63.05;1.24;0.15;8.3;430;101;531;360;109;FS;70.34329987;72.45588684;82.60466766
42;6.7;71.41;1.47;0.17;8.6;466;85;551;344;105;FS;71.62628174;73.37042999;83.90992737
43;6.2;32.81;0.83;0.10;8.6;421;162;583;307;110;FS;64.63934326;57.88264084;58.9351387
44;6.4;37.64;1.11;0.15;7.2;429;219;648;238;114;FS;57.64518356;51.11185074;50.4622612
45;6.3;49.20;1.30;0.15;8.7;433;144;577;332;91;FS;71.19303131;66.49710846;71.8269577
46;6.2;44.24;1.04;0.13;8.0;467;86;553;347;100;FS;74.45960236;73.23274994;83.9804306
47;6.1;53.33;1.44;0.18;8.1;412;165;577;313;110;FS;75.42824554;75.58998871;88.01863861
48;6.1;48.11;1.37;0.17;8.0;427;150;577;307;116;FS;73.01696014;73.19689941;83.46482849
49;6.3;57.72;1.28;0.16;8.2;402;164;566;302;132;FS;74.67221832;73.15868378;82.89652252
50;6.3;24.12;0.97;0.12;7.9;425;165;590;274;136;FS;82.10153961;72.52313232;75.8519516
51;6.2;24.32;0.86;0.11;7.8;427;184;611;262;127;FS;80.00279236;70.57099152;73.74159241
52;6.3;31.76;1.04;0.13;7.9;433;160;593;278;129;FS;85.69332123;78.37914276;87.60611725
53;6.2;35.11;1.14;0.14;8.1;405;173;578;292;130;FS;90.13599396;83.67649841;95.05323792
54;6.3;35.75;1.02;0.13;7.9;418;150;568;297;135;FS;88.93412781;81.70878601;94.20708466
55;6.3;37.01;1.28;0.14;8.9;409;132;541;336;123;FS;83.90755463;78.16782379;86.62582397
56;6.3;44.46;1.34;0.16;8.3;404;106;510;365;125;F;73.96002197;67.66703796;73.83654785
57;6.3;18.83;0.87;0.11;7.7;415;108;523;350;127;FS;63.30528641;58.61334991;66.39949799
58;6.5;43.17;0.60;0.08;7.8;405;175;580;287;133;FS;54.87386322;50.94491577;59.50476074
59;5.9;20.86;1.06;0.13;8.4;424;121;545;334;121;FS;63.56537247;57.5414505;60.0711174
60;6.0;34.69;1.06;0.13;8.4;428;134;562;320;118;FS;64.94228363;59.86080551;66.16228485
61;6.3;43.60;1.19;0.14;8.5;446;97;543;329;128;FS;61.72904968;56.81111908;63.36089706
62;6.1;39.98;1.20;0.15;8.2;413;149;562;304;134;FS;62.52729416;56.0908165;60.69197083
63;6.0;28.23;1.16;0.14;8.0;396;148;544;335;121;FS;63.98093033;56.60663605;60.11878967
64;6.3;25.76;0.88;0.12;7.3;415;139;554;318;128;FS;68.67978668;64.01433563;74.18991089
65;6.4;45.96;1.23;0.14;8.7;417;124;541;338;121;FS;58.33935165;56.29376221;65.79206085
66;6.2;20.25;0.95;0.12;8.1;420;139;559;318;123;FS;70.71388245;65.66208649;76.16208649
67;5.9;27.82;1.12;0.12;9.0;421;176;597;263;140;FS;68.40218353;64.00185394;77.0302887
68;5.9;31.97;1.05;0.12;8.8;416;155;571;313;116;FS;64.4526825;60.78927994;72.05321503
69;6.0;32.60;1.09;0.13;8.4;404;117;521;351;128;FS;64.51690674;59.35068512;67.45006561
70;6.0;29.27;1.15;0.14;8.3;388;154;542;324;134;FS;53.30112839;49.49563217;53.7277565
71;6.0;34.27;0.84;0.10;8.3;458;128;586;266;148;FS;76.9458847;72.31367493;85.54263306
72;5.8;28.23;1.01;0.12;8.2;442;155;597;270;133;FS;67.98103333;64.3806076;75.48548126
73;5.6;26.17;1.05;0.12;8.6;430;124;554;306;140;FS;55.17388916;54.91007996;63.96928787
74;5.9;27.82;0.99;0.12;8.1;439;159;598;267;135;FS;59.16270447;55.08481979;63.04457092
75;6.1;40.83;1.27;0.15;8.4;417;152;569;315;116;FS;61.19932175;58.50984573;67.22575378
76;6.0;49.85;1.26;0.15;8.3;439;151;590;282;128;FS;63.06735611;56.13768387;62.42755127
77;6.3;47.25;1.17;0.15;8.0;407;128;535;336;129;FS;53.0506897;47.83688354;52.82505035
78;6.3;20.45;0.78;0.09;8.4;448;155;603;280;117;FS;76.12429047;70.65210724;81.36681366
79;6.3;18.63;0.68;0.09;7.7;457;126;583;296;121;FS;73.83470917;66.53495789;76.29478455
80;6.5;18.83;0.77;0.09;8.1;451;135;586;295;119;FS;60.96799088;53.14516068;58.27985001
81;6.5;20.65;0.95;0.12;7.9;468;138;606;274;120;FS;76.36141205;69.07593536;79.87404633
82;6.5;33.86;1.13;0.15;7.8;446;116;562;316;122;FS;56.55095673;55.73888397;65.46514893
83;6.7;43.60;1.11;0.14;7.7;409;148;557;328;115;FS;52.75696182;52.2780304;61.17956161
84;6.8;58.60;1.44;0.18;8.1;382;134;516;351;133;F;56.05607986;51.61007309;55.91410446
85;6.5;39.34;1.03;0.13;7.7;393;144;537;315;148;FS;55.27193451;49.77789307;53.46053314
86;6.5;22.48;0.68;0.09;7.9;479;152;631;275;94;FS;78.90008545;70.47549438;81.55113983
87;6.2;26.58;0.72;0.10;7.1;505;103;608;267;125;FS;83.36627197;73.27783966;80.75520325
88;6.3;21.06;0.69;0.09;8.0;472;123;595;307;98;FS;66.41814423;59.16328049;66.31874847
89;6.4;36.80;0.91;0.12;7.7;442;163;605;299;96;FS;66.08058167;60.75681686;69.26491547
90;6.5;35.33;0.78;0.10;7.9;440;165;605;299;96;FS;66.35991669;61.57131577;70.48078918
91;6.3;30.51;0.90;0.12;7.6;437;111;548;313;139;FS;70.93747711;65.48878479;73.38149261
92;6.3;27.61;0.88;0.12;7.2;411;161;572;325;103;FS;65.80113983;60.47135925;70.3155899
93;6.7;39.76;0.94;0.11;8.9;394;127;521;362;117;FS;69.34555054;63.92098236;73.40071106
94;6.2;20.65;0.68;0.09;7.4;560;111;671;205;124;FS;107.7867584;102.7811661;134.5847931
95;6.0;20.05;0.71;0.10;7.4;552;103;655;224;121;FS;84.58544922;82.45952606;106.8784485
96;6.2;22.28;0.63;0.09;6.7;577;75;652;239;109;FS;89.42497253;90.42595673;108.3903503
97;6.2;29.89;0.70;0.08;8.9;537;132;669;218;113;FS;63.38595581;56.74206924;62.5685997
98;6.2;34.27;0.86;0.10;8.2;518;112;630;254;116;FS;64.21736145;56.33512115;58.85296631
99;6.2;26.99;0.85;0.11;7.5;504;138;642;253;105;FS;60.41888809;53.46310043;56.4986763
100;7.3;34.69;0.89;0.11;8.5;513;101;614;278;108;FS;56.23845673;49.76676941;53.29450607
101;7.2;41.25;0.99;0.11;8.8;485;116;601;278;121;FS;66.69002533;60.94119644;68.19643402
102;6.6;37.22;1.04;0.13;8.2;436;133;569;321;110;FS;54.78522491;48.62719727;51.54119492
103;6.4;31.14;0.70;0.09;8.2;576;113;689;205;106;FS;115.8868332;111.0632706;146.6265564
104;6.3;31.97;0.55;0.06;8.6;596;86;682;192;126;FS;103.2024078;104.1569366;140.0363617
105;6.2;30.50;0.57;0.07;7.9;606;125;731;156;113;FS;99.75708771;95.76589203;136.7922516
106;7.3;60.82;0.93;0.10;9.3;604;111;715;191;94;FS;75.43647003;69.78314209;82.792099
107;7.0;62.16;1.31;0.14;9.6;561;109;670;231;99;FS;80.41474915;75.67739105;90.1391449
108;6.4;43.60;0.94;0.10;9.0;529;115;644;239;117;FS;77.53662109;77.5092926;93.86564636
109;6.0;42.10;0.90;0.09;9.8;531;101;632;254;114;FS;84.0297699;77.82639313;93.06105042
110;6.3;42.74;0.89;0.09;9.6;501;121;622;263;115;FS;79.08209991;73.82353973;91.88320923
111;6.3;49.41;0.38;0.06;6.1;468;115;583;298;119;FS;80.32821655;72.25852203;85.89216614
112;6.5;56.18;1.09;0.12;8.7;445;70;515;364;121;F;74.51682281;67.51499939;76.03620911
113;7.2;28.85;0.57;0.07;8.6;608;55;663;240;97;FS;85.36767578;82.2460022;99.32202911
114;6.7;37.01;0.91;0.10;8.7;550;84;634;275;91;FS;84.94663239;81.12316132;104.2121658
115;6.2;37.64;0.83;0.09;9.5;511;64;575;308;117;FS;73.66777802;68.75326538;87.39138031
116;6.8;29.48;1.11;0.13;8.7;379;134;513;367;120;F;65.67728424;59.40276337;66.30535126
117;6.4;47.47;1.14;0.13;8.4;405;106;511;380;109;F;63.15399933;57.01580811;61.75381088
118;6.1;33.02;1.24;0.14;8.6;377;144;521;368;111;FS;67.79724121;60.61791229;65.46704102
119;6.5;50.06;1.45;0.17;8.6;390;118;508;384;108;F;71.74178314;69.25011444;77.17149353
120;6.5;66.19;1.73;0.20;8.5;358;118;476;414;110;F;60.68556976;63.31611633;72.10322571
121;6.2;37.01;1.17;0.13;8.7;315;102;417;454;129;F;56.66040421;56.62450409;54.05241394
122;6.7;42.32;1.17;0.14;8.4;275;147;422;433;145;F;44.30805969;45.79708099;45.37697983
123;6.6;41.46;1.22;0.14;8.9;317;110;427;429;144;F;46.00456619;47.85097504;47.25104904
124;6.7;32.18;0.98;0.11;8.8;304;155;459;383;158;F;42.4262085;43.86566925;43.7338295
